Income group,"Households, total",Population by Income Basket,Income
between 0 and 2 thousand euros,46,279,10000
between 2 and 4 thousand euros,52,1518,20000
between 4 and 6 thousand euros,56,2425,30000
between 6 and 8 thousand euros,59,1897,40000
between 8 and 10 thousand euros,66,962,50000
between 10 and 12 thousand euros,84,389,60000
between 12 and 14 thousand euros,179,158,70000
between 14 and 16 thousand euros,368,75,80000
between 16 and 18 thousand euros,425,41,90000
between 18 and 20 thousand euros,462,24,100000
between 20 and 22 thousand euros,539,,
between 22 and 24 thousand euros,495,,
between 24 and 26 thousand euros,464,,
between 26 and 28 thousand euros,467,,
between 28 and 30 thousand euros,460,,
between 30 and 32 thousand euros,441,,
between 32 and 34 thousand euros,417,,
between 34 and 36 thousand euros,388,,
between 36 and 38 thousand euros,348,,
between 38 and 40 thousand euros,303,,
between 40 and 42 thousand euros,261,,
between 42 and 44 thousand euros,223,,
between 44 and 46 thousand euros,188,,
between 46 and 48 thousand euros,158,,
between 48 and 50 thousand euros,132,,
between 50 and 52 thousand euros,110,,
between 52 and 54 thousand euros,90,,
between 54 and 56 thousand euros,75,,
between 56 and 58 thousand euros,62,,
between 58 and 60 thousand euros,52,,
between 60 and 62 thousand euros,43,,
between 62 and 64 thousand euros,36,,
between 64 and 66 thousand euros,31,,
between 66 and 68 thousand euros,26,,
between 68 and 70 thousand euros,22,,
between 70 and 72 thousand euros,19,,
between 72 and 74 thousand euros,17,,
between 74 and 76 thousand euros,15,,
between 76 and 78 thousand euros,13,,
between 78 and 80 thousand euros,11,,
between 80 and 82 thousand euros,10,,
between 82 and 84 thousand euros,9,,
between 84 and 86 thousand euros,8,,
between 86 and 88 thousand euros,7,,
between 88 and 90 thousand euros,7,,
between 90 and 92 thousand euros,6,,
between 92 and 94 thousand euros,5,,
between 94 and 96 thousand euros,5,,
between 96 and 98 thousand euros,4,,
between 98 and 100 thousand euros,4,,
