RunId,iteration,Step,num_houses,noise,start_money_multiplier,start_money_multiplier_newcomers,contentment_threshold,weight_materialistic,housing_growth_rate,population_growth_rate,population,population_homeless,average_cash_homeless,std_cash_homeless,amount_of_houses_Centrum,amount_of_houses_Oost,amount_of_houses_NieuwWest,amount_of_houses_Zuidoost,amount_of_houses_Noord,amount_of_houses_West,amount_of_houses_Zuid,amount_of_empty_houses_Centrum,amount_of_empty_houses_Oost,amount_of_empty_houses_NieuwWest,amount_of_empty_houses_Zuidoost,amount_of_empty_houses_Noord,amount_of_empty_houses_West,amount_of_empty_houses_Zuid,move_in_Centrum,move_in_Oost,move_in_NieuwWest,move_in_Zuidoost,move_in_Noord,move_in_West,move_in_Zuid,move_out_Centrum,move_out_Oost,move_out_NieuwWest,move_out_Zuidoost,move_out_Noord,move_out_West,move_out_Zuid,average_contentment_Centrum,average_contentment_Oost,average_contentment_NieuwWest,average_contentment_Zuidoost,average_contentment_Noord,average_contentment_West,average_contentment_Zuid,average_neighbourhood_component_Centrum,average_neighbourhood_component_Oost,average_neighbourhood_component_NieuwWest,average_neighbourhood_component_Zuidoost,average_neighbourhood_component_Noord,average_neighbourhood_component_West,average_neighbourhood_component_Zuid,std_neighbourhood_component_Centrum,std_neighbourhood_component_Oost,std_neighbourhood_component_NieuwWest,std_neighbourhood_component_Zuidoost,std_neighbourhood_component_Noord,std_neighbourhood_component_West,std_neighbourhood_component_Zuid,average_house_price_Centrum,average_house_price_Oost,average_house_price_NieuwWest,average_house_price_Zuidoost,average_house_price_Noord,average_house_price_West,average_house_price_Zuid,std_house_price_Centrum,std_house_price_Oost,std_house_price_NieuwWest,std_house_price_Zuidoost,std_house_price_Noord,std_house_price_West,std_house_price_Zuid,average_salaries_Centrum,average_salaries_Oost,average_salaries_NieuwWest,average_salaries_Zuidoost,average_salaries_Noord,average_salaries_West,average_salaries_Zuid,std_salaries_Centrum,std_salaries_Oost,std_salaries_NieuwWest,std_salaries_Zuidoost,std_salaries_Noord,std_salaries_West,std_salaries_Zuid,average_cash_Centrum,average_cash_Oost,average_cash_NieuwWest,average_cash_Zuidoost,average_cash_Noord,average_cash_West,average_cash_Zuid,std_cash_Centrum,std_cash_Oost,std_cash_NieuwWest,std_cash_Zuidoost,std_cash_Noord,std_cash_West,std_cash_Zuid
0,0,0,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37578,0.52812,0.48698,0.41615,0.40576,0.46727,0.59492,0.52407,0.58671,0.53805,0.33417,0.52266,0.48126,0.61099,0.06143,0.04163,0.04247,0.10208,0.05181,0.13475,0.05372,543204.71429,543204.71429,543204.71429,543204.71429,543204.71429,543204.71429,543204.71429,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,60707.52117,53801.34870,83823.71110,97149.36312,94127.79115,85811.52248,86717.20380,20551.94224,18465.30796,25225.39496,21014.78314,73290.98249,24194.38454,42644.79419,136476.00000,136476.00000,136476.00000,136476.00000,136476.00000,136476.00000,136476.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,0,1,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,1,3,0,1,1,3,3,2,0,1,2,1,1,0.50067,0.56635,0.47185,0.47160,0.48827,0.49855,0.56441,0.71341,0.63818,0.51537,0.36203,0.65895,0.53134,0.60438,0.09668,0.05096,0.04753,0.09370,0.04009,0.09550,0.07163,589870.34952,559899.73242,565191.43191,548299.67965,585562.57884,558307.07693,566149.08111,45966.16016,20100.39773,41000.02894,8824.73887,34087.21278,36722.68798,32391.87521,73127.33004,52080.96417,93947.33535,90381.50868,72389.45409,91477.95937,81454.10041,16972.64653,24051.06666,58188.17622,13132.11142,28098.55819,28913.91432,43626.45065,157863.63551,164140.58975,209553.70813,226154.02880,178388.19765,200977.19804,171544.71200,49166.78093,46101.46976,101174.14476,46804.29554,56211.89909,55247.00261,52569.67990
0,0,2,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,2,3,0,2,1,4,3,4,0,1,2,1,2,0.50983,0.53909,0.48911,0.48272,0.54018,0.51152,0.59872,0.71341,0.63157,0.51537,0.36203,0.68502,0.53134,0.64584,0.09668,0.04597,0.04753,0.09370,0.01655,0.09550,0.05117,589870.34952,572052.13313,565191.43191,548299.67965,587921.73021,558307.07693,575607.74280,45966.16016,20868.67465,41000.02894,8824.73887,31285.42204,36722.68798,31693.64971,73127.33004,47417.03229,93947.33535,90381.50868,82685.93121,91477.95937,80386.80224,16972.64653,22360.05790,58188.17622,13132.11142,20618.93983,28913.91432,43983.46931,204499.96556,162164.45462,272671.04348,292937.53748,268062.26549,263892.15741,213391.46742,58853.03084,63338.18537,152565.49939,56157.91759,68064.34832,73291.96963,97280.08225
0,0,3,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,2,3,0,2,1,4,3,4,0,1,2,1,2,0.51740,0.54339,0.50265,0.49203,0.54631,0.52228,0.60642,0.71341,0.63157,0.51537,0.36203,0.68502,0.53134,0.64584,0.09668,0.04597,0.04753,0.09370,0.01655,0.09550,0.05117,589870.34952,572052.13313,565191.43191,548299.67965,587921.73021,558307.07693,575607.74280,45966.16016,20868.67465,41000.02894,8824.73887,31285.42204,36722.68798,31693.64971,73127.33004,47417.03229,93947.33535,90381.50868,82685.93121,91477.95937,80386.80224,16972.64653,22360.05790,58188.17622,13132.11142,20618.93983,28913.91432,43983.46931,251136.29560,178181.48691,335788.37883,359721.04616,324988.19670,326807.11678,255868.26966,71317.09186,85237.34745,207576.45180,66795.85343,74834.78977,96763.74946,140347.64284
0,0,4,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,2,3,0,2,1,4,3,4,0,1,2,1,2,0.51740,0.54339,0.50265,0.49203,0.54631,0.52228,0.60642,0.55297,0.50622,0.40350,0.52472,0.49560,0.53288,0.53492,0.10057,0.09799,0.09131,0.13274,0.05163,0.08687,0.04417,589870.34952,572052.13313,565191.43191,548299.67965,587921.73021,558307.07693,575607.74280,45966.16016,20868.67465,41000.02894,8824.73887,31285.42204,36722.68798,31693.64971,73127.33004,47417.03229,93947.33535,90381.50868,82685.93121,91477.95937,80386.80224,16972.64653,22360.05790,58188.17622,13132.11142,20618.93983,28913.91432,43983.46931,251136.29560,178181.48691,335788.37883,359721.04616,324988.19670,326807.11678,255868.26966,71317.09186,85237.34745,207576.45180,66795.85343,74834.78977,96763.74946,140347.64284
0,0,5,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,2,3,0,2,1,4,3,4,0,1,2,1,2,0.52396,0.54724,0.51400,0.50008,0.55163,0.53159,0.61325,0.65033,0.57838,0.47919,0.53625,0.55536,0.63425,0.61705,0.07418,0.06706,0.09712,0.11420,0.04978,0.09506,0.08634,589870.34952,572052.13313,565191.43191,548299.67965,587921.73021,558307.07693,575607.74280,45966.16016,20868.67465,41000.02894,8824.73887,31285.42204,36722.68798,31693.64971,73127.33004,47417.03229,93947.33535,90381.50868,82685.93121,91477.95937,80386.80224,16972.64653,22360.05790,58188.17622,13132.11142,20618.93983,28913.91432,43983.46931,297772.62565,194198.51921,398905.71418,426504.55484,381914.12791,389722.07615,298345.07189,85350.55597,107326.74155,263953.52391,78195.68443,86127.91282,122583.69586,183849.39065
0,0,6,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,2,3,0,2,1,4,3,4,0,1,2,1,2,0.53504,0.55393,0.53262,0.51368,0.56070,0.54731,0.62511,0.71341,0.63157,0.51537,0.36203,0.68502,0.53134,0.64584,0.09668,0.04597,0.04753,0.09370,0.01655,0.09550,0.05117,589870.34952,572052.13313,565191.43191,548299.67965,587921.73021,558307.07693,575607.74280,45966.16016,20868.67465,41000.02894,8824.73887,31285.42204,36722.68798,31693.64971,73127.33004,47417.03229,93947.33535,90381.50868,82685.93121,91477.95937,80386.80224,16972.64653,22360.05790,58188.17622,13132.11142,20618.93983,28913.91432,43983.46931,391045.28573,226232.58379,525140.38487,560071.57220,495765.99033,515551.99488,383298.67636,115802.94215,151743.56886,378356.45200,102249.87638,116637.92118,177115.57723,271319.27145
0,0,7,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,2,3,0,2,1,4,3,4,0,1,2,1,2,0.53504,0.55393,0.53262,0.51368,0.56070,0.54731,0.62511,0.49731,0.52530,0.44769,0.47806,0.57623,0.46014,0.30394,0.14140,0.16304,0.08147,0.11734,0.03309,0.14156,0.09370,589870.34952,572052.13313,565191.43191,548299.67965,587921.73021,558307.07693,575607.74280,45966.16016,20868.67465,41000.02894,8824.73887,31285.42204,36722.68798,31693.64971,73127.33004,47417.03229,93947.33535,90381.50868,82685.93121,91477.95937,80386.80224,16972.64653,22360.05790,58188.17622,13132.11142,20618.93983,28913.91432,43983.46931,391045.28573,226232.58379,525140.38487,560071.57220,495765.99033,515551.99488,383298.67636,115802.94215,151743.56886,378356.45200,102249.87638,116637.92118,177115.57723,271319.27145
0,0,8,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,2,3,0,2,1,4,3,4,0,1,2,1,2,0.53987,0.55688,0.54055,0.51957,0.56467,0.55412,0.63037,0.64756,0.55805,0.56475,0.58092,0.61153,0.58410,0.59716,0.07702,0.10623,0.07671,0.02794,0.03286,0.05108,0.03795,589870.34952,572052.13313,565191.43191,548299.67965,587921.73021,558307.07693,575607.74280,45966.16016,20868.67465,41000.02894,8824.73887,31285.42204,36722.68798,31693.64971,73127.33004,47417.03229,93947.33535,90381.50868,82685.93121,91477.95937,80386.80224,16972.64653,22360.05790,58188.17622,13132.11142,20618.93983,28913.91432,43983.46931,437681.61578,242249.61609,588257.72022,626855.08088,552691.92154,578466.95425,425775.47860,131671.31656,174010.25222,435949.84496,114641.31171,134063.49369,205059.87814,315157.98909
0,0,9,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,2,3,0,2,1,4,3,4,0,1,2,1,2,0.54848,0.56216,0.55451,0.53007,0.57182,0.56626,0.63990,0.71341,0.63157,0.51537,0.36203,0.68502,0.53134,0.64584,0.09668,0.04597,0.04753,0.09370,0.01655,0.09550,0.05117,589870.34952,572052.13313,565191.43191,548299.67965,587921.73021,558307.07693,575607.74280,45966.16016,20868.67465,41000.02894,8824.73887,31285.42204,36722.68798,31693.64971,73127.33004,47417.03229,93947.33535,90381.50868,82685.93121,91477.95937,80386.80224,16972.64653,22360.05790,58188.17622,13132.11142,20618.93983,28913.91432,43983.46931,530954.27587,274283.68068,714492.39092,760422.09824,666543.78396,704296.87299,510729.08307,164072.50951,218600.81287,551511.35575,139830.36405,171058.74952,261581.52099,402930.08522
